IDPOP_10057,AY043175,90.62,4298,393,9,4,4297,4,4295,0.0, 5696
IDPOP_101440,DQ396383,89.63,4290,431,10,1,4285,225,4505,0.0, 5445
IDPOP_101440,DQ396383,79.49,2116,390,37,4714,6807,6088,8181,0.0, 1463
IDPOP_101586,DQ396383,90.06,4286,412,10,4,4284,228,4504,0.0, 5542
IDPOP_102342,DQ056406,90.07,4302,411,13,1,4295,224,4516,0.0, 5565
IDPOP_102342,DQ056406,79.82,2542,478,22,4283,6796,5635,8169,0.0, 1820
IDPOP_102779,AY463234,90.24,4291,403,11,1,4285,240,4520,0.0, 5589
IDPOP_102978,DQ056406,89.34,4288,450,4,1,4285,224,4507,0.0, 5380
IDPOP_102978,DQ056406,81.10,2556,442,33,4283,6807,5635,8180,0.0, 2006
IDPOP_103031,DQ056406,90.46,4289,398,9,2,4285,225,4507,0.0, 5644
IDPOP_103031,DQ056406,82.48,2557,405,38,4283,6807,5635,8180,0.0, 2200
IDPOP_10331,AY043175,89.76,4295,428,10,6,4295,6,4293,0.0, 5483
IDPOP_10331,AY043175,82.19,421,69,3,4283,4697,5413,5833,6e-98,  357
IDPOP_10336,AY838565,90.79,4289,385,7,2,4286,229,4511,0.0, 5723
IDPOP_10336,AY838565,83.93,2552,371,21,4283,6801,5638,8183,0.0, 2405
IDPOP_103707,AY463224,89.88,4288,425,8,1,4285,240,4521,0.0, 5505
IDPOP_103707,AY463224,80.01,2106,378,34,4723,6805,6133,8218,0.0, 1517
IDPOP_103765,AY463234,90.02,4289,411,9,3,4285,243,4520,0.0, 5533
IDPOP_103765,AY463234,80.94,2560,442,36,4283,6807,5648,8196,0.0, 1982
IDPOP_104168,DQ056406,89.72,4299,432,7,1,4295,224,4516,0.0, 5481
IDPOP_104168,DQ056406,81.44,2559,430,32,4282,6807,5634,8180,0.0, 2052
IDPOP_10475,AY043175,89.37,4288,449,5,1,4285,1,4284,0.0, 5385
IDPOP_104761,DQ056406,90.74,4289,386,8,1,4284,224,4506,0.0, 5710
IDPOP_104761,DQ056406,81.82,2558,414,35,4286,6807,5638,8180,0.0, 2100
IDPOP_10485,AY043175,91.56,4303,352,8,1,4299,1,4296,0.0, 5925
IDPOP_10485,AY043175,82.11,2135,341,27,4707,6807,5873,8000,0.0, 1788
IDPOP_106815,AY463234,89.77,4303,419,14,1,4295,240,4529,0.0, 5489
IDPOP_106815,AY463234,81.83,2553,426,27,4285,6806,5650,8195,0.0, 2109
IDPOP_106905,DQ396385,89.93,4289,416,12,3,4285,228,4506,0.0, 5513
IDPOP_106905,DQ396385,78.59,2583,460,49,4283,6802,5632,8184,0.0, 1620
IDPOP_107022,DQ396378,90.20,4287,410,9,1,4283,224,4504,0.0, 5581
IDPOP_107022,DQ396378,81.11,2557,423,34,4298,6806,5649,8193,0.0, 1991
IDPOP_107081,AY463234,89.39,4290,439,13,1,4284,240,4519,0.0, 5387
IDPOP_107081,AY463234,81.23,2546,438,28,4287,6800,5652,8189,0.0, 2017
IDPOP_107142,AY043175,90.08,4296,416,8,4,4295,4,4293,0.0, 5565
IDPOP_107142,AY043175,78.95,2598,460,48,4283,6805,5413,7998,0.0, 1687
IDPOP_107721,AY043173,89.56,4291,435,10,1,4285,1,4284,0.0, 5430
IDPOP_107721,AY043173,81.46,2557,429,30,4283,6806,5415,7959,0.0, 2054
IDPOP_108926,DQ396383,90.28,4288,407,5,1,4285,225,4505,0.0, 5600
IDPOP_108926,DQ396383,81.45,2097,357,24,4716,6796,6090,8170,0.0, 1688
IDPOP_109,DQ396383,89.55,4295,427,16,1,4286,225,4506,0.0, 5424
IDPOP_109,DQ396383,80.19,2570,446,45,4283,6807,5630,8181,0.0, 1868
IDPOP_109544,AY043175,90.42,4289,402,6,1,4285,1,4284,0.0, 5635
IDPOP_10961,AY043175,90.54,4283,394,10,4,4281,4,4280,0.0, 5655
IDPOP_10961,AY043175,81.12,2135,358,25,4709,6807,5875,8000,0.0, 1668
IDPOP_111377,AY043175,90.54,4294,393,11,6,4293,6,4292,0.0, 5668
IDPOP_111377,AY043175,80.69,2134,371,26,4708,6807,5874,8000,0.0, 1620
IDPOP_111377,AY043175,83.81,420,60,5,4283,4695,5413,5831,2e-108,  392
IDPOP_11816,AY463227,91.84,4287,344,3,1,4285,240,4522,0.0, 5973
IDPOP_11816,AY463227,83.65,2562,358,45,4286,6805,5653,8195,0.0, 2353
IDPOP_11826,AY043175,91.27,4282,363,8,1,4277,1,4276,0.0, 5825
IDPOP_11826,AY043175,83.01,2136,320,31,4707,6807,5873,8000,0.0, 1893
IDPOP_11841,AY043175,91.11,4288,374,6,1,4285,1,4284,0.0, 5801
IDPOP_11841,AY043175,80.61,2594,424,44,4283,6805,5413,7998,0.0, 1930
IDPOP_12,AY463224,90.65,4290,388,11,1,4285,240,4521,0.0, 5688
IDPOP_12,AY463224,81.96,2118,350,23,4704,6804,6115,8217,0.0, 1766
IDPOP_12219,AY043175,91.48,4284,358,5,1,4281,1,4280,0.0, 5882
IDPOP_12219,AY043175,82.55,2149,326,30,4697,6807,5863,8000,0.0, 1845
IDPOP_12219,AY043175,86.81,417,49,1,4285,4695,5415,5831,4e-129,  460
IDPOP_1318,AY463234,92.21,4302,318,12,1,4296,240,4530,0.0, 6072
IDPOP_1318,AY463234,84.35,2549,375,14,4283,6807,5648,8196,0.0, 2475
IDPOP_1366,AY463234,90.91,4290,376,6,1,4285,240,4520,0.0, 5749
IDPOP_1366,AY463234,81.71,2553,431,26,4283,6805,5648,8194,0.0, 2095
IDPOP_1407,AY043175,92.78,4278,304,3,2,4277,2,4276,0.0, 6183
IDPOP_1407,AY043175,83.28,2595,357,44,4283,6807,5413,8000,0.0, 2316
IDPOP_1429,AY043175,90.79,4301,382,12,1,4295,1,4293,0.0, 5736
IDPOP_1460,DQ396376,89.72,4299,432,7,1,4295,225,4517,0.0, 5481
IDPOP_1460,DQ396376,81.23,2557,422,31,4283,6807,5636,8166,0.0, 2010
